dataset,seed,new,old
cicids2017,512,0.8947368421052632,0.8947368421052632
cicids2017,512,0.9064748201438849,0.9064748201438849
cicids2017,6021,0.7841105354058722,0.7841105354058722
cicids2017,6021,0.8359073359073359,0.8359073359073359
cicids2017,6021,0.8126195028680688,0.8126195028680688
cicids2017,6021,0.7886497064579256,0.7886497064579256
cicids2017,6021,0.8255395683453237,0.8255395683453237
cicids2017,6021,0.8128654970760234,0.8128654970760234
cicids2017,6021,0.8282442748091603,0.8282442748091603
cicids2017,6021,0.8078358208955224,0.8078358208955224
cicids2017,6021,0.8411552346570397,0.8411552346570397
cicids2017,6021,0.8425925925925926,0.8425925925925926
cicids2017,7,0.9234972677595629,0.9234972677595629
cicids2017,7,0.925531914893617,0.925531914893617
cicids2017,7,0.9186691312384473,0.9186691312384473
cicids2017,7,0.922945205479452,0.922945205479452
cicids2017,7,0.9160447761194029,0.9160447761194029
cicids2017,7,0.9523809523809523,0.9523809523809523
cicids2017,7,0.9247104247104247,0.9247104247104247
cicids2017,7,0.9113207547169812,0.9113207547169812
cicids2017,7,0.925,0.925
cicids2017,7,0.9163822525597269,0.9163822525597269
cicids2017,88,0.8141263940520446,0.8141263940520446
cicids2017,88,0.8287795992714025,0.8306010928961749
cicids2017,88,0.8114602587800369,0.8114602587800369
cicids2017,88,0.8468634686346863,0.8468634686346863
cicids2017,88,0.812015503875969,0.812015503875969
cicids2017,88,0.81195079086116,0.81195079086116
cicids2017,88,0.7992351816443595,0.7992351816443595
cicids2017,88,0.8274021352313167,0.8274021352313167
cicids2017,88,0.8210922787193974,0.8210922787193974
cicids2017,88,0.8280141843971631,0.8280141843971631
cicids2017,91,0.8560460652591171,0.8560460652591171
cicids2017,91,0.8954954954954955,0.8954954954954955
cicids2017,91,0.8862385321100917,0.8862385321100917
cicids2017,91,0.8803738317757009,0.8803738317757009
cicids2017,91,0.8653846153846154,0.8653846153846154
cicids2017,91,0.8772241992882562,0.8772241992882562
cicids2017,91,0.8670212765957447,0.8687943262411347
cicids2017,91,0.8716577540106952,0.8716577540106952
cicids2017,91,0.856140350877193,0.8578947368421053
cicids2017,91,0.8768656716417911,0.8768656716417911
cicids2017,12345,0.9297297297297298,0.9297297297297298
cicids2017,12345,0.9234972677595629,0.9234972677595629
cicids2017,12345,0.9309701492537313,0.9309701492537313
cicids2017,12345,0.9253472222222222,0.9253472222222222
cicids2017,12345,0.9213286713286714,0.9213286713286714
cicids2017,12345,0.9293893129770993,0.9293893129770993
cicids2017,12345,0.9090909090909091,0.9090909090909091
cicids2017,12345,0.9198542805100182,0.9198542805100182
cicids2017,12345,0.9214953271028037,0.9214953271028037
cicids2017,12345,0.9226519337016574,0.9226519337016574
cicids2017,1337,0.9387755102040817,0.9387755102040817
cicids2017,1337,0.9233449477351916,0.9233449477351916
cicids2017,1337,0.9421338155515371,0.9421338155515371
cicids2017,1337,0.935672514619883,0.935672514619883
cicids2017,1337,0.9305555555555556,0.9305555555555556
cicids2017,1337,0.9239130434782609,0.9239130434782609
