dataset,rung,class,arch,seed,realization,q_src,F_src_at_q,F_tgt_at_q,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,KS_location,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,n_src,n_tgt
ciciot2023,0.8,DoS,xgb,7,2,0.5,0.9991671624033314,0.9991507430997877,1.641930354367993e-05,-0.04916716240333141,-0.04915074309978773,0.0006433840942417501,0.4991918206214905,0.0006433840942417501,0.0001470159178832739,0.000849256900212314,0.0,0.025520219866533432,25215,9420
ciciot2023,0.8,Mirai,xgb,7,2,0.5,0.9997889516171582,1.0,-0.00021104838284180527,-0.04978895161715824,-0.050000000000000044,0.00021104838284180527,0.5,0.0001783364669914305,0.00021104838284180527,0.0,0.0,1.0,18953,7234
ciciot2023,0.8,Recon,xgb,7,2,0.5544160008430481,0.9501192799826502,0.9507417053561318,-0.000622425373481561,-0.00011927998265026662,-0.0007417053561318276,0.0065367409876207205,0.49545347690582275,0.0065367409876207205,0.003991518511868727,0.04925829464386822,-0.0333656445145607,0.09521952524359006,23055,8831
ciciot2023,0.8,Spoofing,xgb,7,2,0.7981508821249008,0.9501391650099403,0.9467971908916791,0.003341974118261204,-0.0001391650099403785,0.0032028091083208254,0.016875634890381047,0.4400722086429596,0.005359052325756064,0.016875634890381047,0.05320280910832087,0.011243779957293976,0.19803545999718788,12575,4699
ciciot2023,0.8,Web,xgb,7,2,0.9591958019882441,0.9508196721311475,0.9469790382244143,0.0038406339067331707,-0.0008196721311475308,0.00302096177558564,0.10778378097413494,0.49614962935447693,0.027072137500469218,0.10778378097413494,0.053020961775585684,0.0021059447899460793,0.0356327628519064,2135,811
ciciot2023,0.8,Benign,xgb,7,3,0.897229015827179,0.9501508175900937,0.9486960239418555,0.0014547936482381951,-0.00015081759009372142,0.0013039760581444737,0.017171098977348087,0.49731650948524475,0.017171098977348087,0.00411386105315685,0.05130397605814452,0.001682495325803779,0.08472338608946008,6299,2339
ciciot2023,0.8,BruteForce,xgb,7,3,0.986702274531126,0.9511305616338439,0.9490909090909091,0.002039652542934811,-0.0011305616338439517,0.0009090909090908594,0.02593859823619124,0.4976935088634491,0.017567800543730527,0.02593859823619124,0.050909090909090904,2.9936665669083595e-05,0.07863387698757575,1371,550
ciciot2023,0.8,DDoS,xgb,7,3,0.5,0.99966411589462,0.9997299591080935,-6.5843213473471e-05,-0.04966411589462005,-0.049729959108093524,0.00025737860546099737,0.422855943441391,6.668714055546587e-05,0.00025737860546099737,0.00027004089190652003,0.0,0.25582240355812613,68476,25922
ciciot2023,0.8,DoS,xgb,7,3,0.5,0.9991671624033314,0.9996830092983939,-0.0005158468950625661,-0.04916716240333141,-0.049683009298393976,0.0023606074823299,0.4990583658218384,0.00014560326416822094,0.0023606074823299,0.000316990701606068,0.0,0.21852294332026329,25215,9464
ciciot2023,0.8,Mirai,xgb,7,3,0.5,0.9997889516171582,0.9998635743519781,-7.46227348199513e-05,-0.04978895161715824,-0.04986357435197819,0.0004326203924132281,0.4990637004375458,8.36635523113749e-05,0.0004326203924132281,0.00013642564802185397,0.0,0.17249010016308602,18953,7330
