dataset,arch,class,n_src,n_tgt,q_src,SHC_coverage,undercoverage,median_score_shift,q90_score_shift,score_KS,realization,rung,seed
ciciot2023:rung0.8,xgb,Web,2135,811,0.9503,0.9461,0.0039,-0.013,0.0073,0.1153,0,0.8,512
ciciot2023:rung0.8,xgb,Benign,6299,2378,0.8988,0.9563,-0.0063,0.0,-0.0131,0.0105,0,0.8,6021
ciciot2023:rung0.8,xgb,BruteForce,1371,566,0.9842,0.9498,0.0002,0.0,0.0001,0.0374,0,0.8,6021
ciciot2023:rung0.8,xgb,DDoS,68476,25942,0.5,0.9501,-0.0001,0.0,0.0,0.0003,0,0.8,6021
ciciot2023:rung0.8,xgb,DoS,25215,9748,0.5,0.952,-0.002,0.0,0.0,0.0005,0,0.8,6021
ciciot2023:rung0.8,xgb,Mirai,18953,7158,0.5,0.9478,0.0022,0.0,0.0,0.0004,0,0.8,6021
ciciot2023:rung0.8,xgb,Recon,23055,8623,0.5533,0.9501,-0.0001,0.0,0.0,0.0044,0,0.8,6021
ciciot2023:rung0.8,xgb,Spoofing,12575,4774,0.8044,0.9526,-0.0026,0.0,-0.0086,0.011,0,0.8,6021
ciciot2023:rung0.8,xgb,Web,2135,811,0.9605,0.9464,0.0036,-0.0104,0.0068,0.1393,0,0.8,6021
ciciot2023:rung0.8,xgb,Benign,6299,2378,0.8972,0.9506,-0.0006,0.0,0.0128,0.0221,0,0.8,7
ciciot2023:rung0.8,xgb,BruteForce,1371,566,0.9867,0.9528,-0.0028,0.0,0.0007,0.0498,0,0.8,7
ciciot2023:rung0.8,xgb,DDoS,68476,25942,0.5,0.95,0.0,0.0,0.0,0.0003,0,0.8,7
ciciot2023:rung0.8,xgb,DoS,25215,9748,0.5,0.9511,-0.0011,0.0,0.0,0.0014,0,0.8,7
ciciot2023:rung0.8,xgb,Mirai,18953,7158,0.5,0.9494,0.0006,0.0,0.0,0.0001,0,0.8,7
ciciot2023:rung0.8,xgb,Recon,23055,8623,0.5544,0.9508,-0.0008,0.0,0.0,0.0042,0,0.8,7
ciciot2023:rung0.8,xgb,Spoofing,12575,4774,0.7982,0.9531,-0.0031,0.0,-0.0215,0.0064,0,0.8,7
ciciot2023:rung0.8,xgb,Web,2135,811,0.9592,0.9438,0.0062,-0.0068,-0.0031,0.1074,0,0.8,7
ciciot2023:rung0.8,xgb,Benign,6299,2378,0.9018,0.9529,-0.0029,0.0,0.0075,0.0102,0,0.8,88
ciciot2023:rung0.8,xgb,BruteForce,1371,566,0.9858,0.9482,0.0018,0.0,0.0008,0.0408,0,0.8,88
ciciot2023:rung0.8,xgb,DDoS,68476,25942,0.5,0.9487,0.0013,0.0,0.0,0.0003,0,0.8,88
ciciot2023:rung0.8,xgb,DoS,25215,9748,0.5,0.9486,0.0014,0.0,0.0,0.0005,0,0.8,88
ciciot2023:rung0.8,xgb,Mirai,18953,7158,0.5,0.9504,-0.0004,0.0,0.0,0.0003,0,0.8,88
ciciot2023:rung0.8,xgb,Recon,23055,8623,0.5694,0.9489,0.0011,0.0,0.0,0.0055,0,0.8,88
ciciot2023:rung0.8,xgb,Spoofing,12575,4774,0.8015,0.9518,-0.0018,0.0,-0.0241,0.0118,0,0.8,88
ciciot2023:rung0.8,xgb,Web,2135,811,0.9508,0.919,0.031,-0.0088,0.0154,0.1011,0,0.8,88
ciciot2023:rung0.8,xgb,Benign,6299,2378,0.8856,0.9495,0.0005,0.0,-0.002,0.0094,0,0.8,91
ciciot2023:rung0.8,xgb,BruteForce,1371,566,0.985,0.9558,-0.0058,0.0,-0.0054,0.021,0,0.8,91
ciciot2023:rung0.8,xgb,DDoS,68476,25942,0.5,0.9496,0.0004,0.0,0.0,0.0003,0,0.8,91
ciciot2023:rung0.8,xgb,DoS,25215,9748,0.5,0.9518,-0.0018,0.0,0.0,0.0007,0,0.8,91
ciciot2023:rung0.8,xgb,Mirai,18953,7158,0.5,0.9517,-0.0017,0.0,0.0,0.0004,0,0.8,91
ciciot2023:rung0.8,xgb,Recon,23055,8623,0.6058,0.9509,-0.0009,0.0,0.0,0.0049,0,0.8,91
ciciot2023:rung0.8,xgb,Spoofing,12575,4774,0.812,0.9526,-0.0026,0.0,-0.0248,0.0085,0,0.8,91
ciciot2023:rung0.8,xgb,Web,2135,811,0.9548,0.9379,0.0121,-0.0117,0.0073,0.1368,0,0.8,91
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9462,0.9403,0.0097,0.0038,0.0141,0.0314,1,0.0,12345
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9909,0.9548,-0.0048,-0.0051,-0.0001,0.0256,1,0.0,12345
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.949,0.001,0.0,0.0,0.0041,1,0.0,12345
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.9472,0.0028,0.0,0.0,0.0121,1,0.0,12345
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9506,-0.0006,0.0,0.0,0.0045,1,0.0,12345
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.698,0.9492,0.0008,0.0017,0.0,0.0085,1,0.0,12345
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8816,0.9545,-0.0045,-0.0,-0.0156,0.013,1,0.0,12345
ciciot2023:rung0.0,mlp,Web,2135,811,0.9695,0.9494,0.0006,0.0045,-0.0056,0.0423,1,0.0,12345
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.935,0.9355,0.0145,0.0003,0.0115,0.0149,1,0.0,1337
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9908,0.9419,0.0081,-0.0025,0.001,0.0285,1,0.0,1337
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9492,0.0008,0.0,0.0,0.0026,1,0.0,1337
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.9493,0.0007,0.0,0.0,0.012,1,0.0,1337
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9497,0.0003,0.0,0.0,0.0056,1,0.0,1337
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.6972,0.9519,-0.0019,-0.0,-0.0,0.0103,1,0.0,1337
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8814,0.9561,-0.0061,0.0,-0.0026,0.0104,1,0.0,1337
ciciot2023:rung0.0,mlp,Web,2135,811,0.9739,0.9404,0.0096,0.0167,0.008,0.047,1,0.0,1337
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9371,0.9427,0.0073,-0.0004,0.0069,0.0192,1,0.0,2024
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9919,0.9504,-0.0004,0.0075,-0.0027,0.0292,1,0.0,2024
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9497,0.0003,0.0,0.0,0.003,1,0.0,2024
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.9476,0.0024,0.0,0.0,0.0055,1,0.0,2024
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9498,0.0002,0.0,0.0,0.0025,1,0.0,2024
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.7058,0.953,-0.003,0.0001,-0.0,0.0075,1,0.0,2024
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8882,0.9544,-0.0044,0.0,-0.0137,0.0146,1,0.0,2024
ciciot2023:rung0.0,mlp,Web,2135,811,0.9714,0.9477,0.0023,0.0179,0.0071,0.0746,1,0.0,2024
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9506,0.9435,0.0065,-0.0004,0.0096,0.0195,1,0.0,3407
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9923,0.9518,-0.0018,0.0028,-0.0014,0.0286,1,0.0,3407
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9492,0.0008,0.0,0.0,0.0021,1,0.0,3407
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.948,0.002,0.0,0.0,0.0102,1,0.0,3407
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9495,0.0005,0.0,0.0,0.0045,1,0.0,3407
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.703,0.9539,-0.0039,0.0001,0.0,0.0087,1,0.0,3407
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8852,0.9549,-0.0049,-0.0001,-0.0147,0.0169,1,0.0,3407
ciciot2023:rung0.0,mlp,Web,2135,811,0.9747,0.9346,0.0154,0.024,0.0053,0.0626,1,0.0,3407
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9472,0.9529,-0.0029,0.0038,0.0106,0.0288,1,0.0,42
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.989,0.9449,0.0051,-0.0162,-0.0002,0.0415,1,0.0,42
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9517,-0.0017,0.0,0.0,0.0042,1,0.0,42
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.4999,0.95,0.0,-0.0,0.0,0.0088,1,0.0,42
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.4999,0.951,-0.001,0.0,0.0,0.007,1,0.0,42
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.7071,0.9549,-0.0049,-0.0002,0.0,0.0075,1,0.0,42
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8862,0.9549,-0.0049,0.0,-0.0214,0.0183,1,0.0,42
ciciot2023:rung0.0,mlp,Web,2135,811,0.9702,0.9433,0.0067,0.0169,0.0056,0.054,1,0.0,42
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9468,0.9436,0.0064,0.0016,0.0042,0.0253,1,0.0,512
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9914,0.959,-0.009,-0.0079,-0.0001,0.0313,1,0.0,512
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9512,-0.0012,0.0,0.0,0.0033,1,0.0,512
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.4999,0.949,0.001,0.0,0.0,0.0085,1,0.0,512
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.4999,0.9492,0.0008,0.0,0.0,0.0048,1,0.0,512
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.7061,0.951,-0.001,0.001,0.0,0.0071,1,0.0,512
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8845,0.9544,-0.0044,-0.0001,-0.0192,0.0135,1,0.0,512
ciciot2023:rung0.0,mlp,Web,2135,811,0.9737,0.951,-0.001,0.0212,0.0055,0.0641,1,0.0,512
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9376,0.94,0.01,0.0038,0.0099,0.0229,1,0.0,6021
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9907,0.9605,-0.0105,-0.0075,-0.0056,0.0395,1,0.0,6021
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9496,0.0004,0.0,0.0,0.0024,1,0.0,6021
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.9496,0.0004,0.0,0.0,0.0072,1,0.0,6021
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9508,-0.0008,0.0,0.0,0.0012,1,0.0,6021
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.6559,0.952,-0.002,0.0003,0.0,0.01,1,0.0,6021
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8805,0.9573,-0.0073,0.0,-0.0264,0.02,1,0.0,6021
ciciot2023:rung0.0,mlp,Web,2135,811,0.9706,0.9388,0.0112,0.0104,0.0052,0.0513,1,0.0,6021
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9438,0.9442,0.0058,-0.0026,0.0095,0.0178,1,0.0,7
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9927,0.9695,-0.0195,-0.0157,-0.0008,0.0562,1,0.0,7
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9503,-0.0003,0.0,0.0,0.0043,1,0.0,7
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.5,0.9501,-0.0001,0.0,0.0,0.0084,1,0.0,7
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.5,0.9504,-0.0004,0.0,0.0,0.005,1,0.0,7
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.6773,0.9508,-0.0008,0.0004,-0.0,0.0056,1,0.0,7
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8786,0.9561,-0.0061,-0.0001,-0.02,0.0151,1,0.0,7
ciciot2023:rung0.0,mlp,Web,2135,811,0.9775,0.9609,-0.0109,0.0168,0.002,0.0531,1,0.0,7
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.9434,0.9408,0.0092,0.0003,0.0045,0.0216,1,0.0,88
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.99,0.9568,-0.0068,-0.0019,-0.0002,0.0306,1,0.0,88
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.9496,0.0004,0.0,0.0,0.003,1,0.0,88
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.4999,0.9499,0.0001,0.0,0.0,0.0051,1,0.0,88
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.4999,0.9489,0.0011,0.0,0.0,0.0014,1,0.0,88
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.6871,0.9505,-0.0005,0.0009,0.0,0.0089,1,0.0,88
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8848,0.9529,-0.0029,0.0,-0.0091,0.008,1,0.0,88
ciciot2023:rung0.0,mlp,Web,2135,811,0.9736,0.9355,0.0145,0.0024,0.0039,0.0352,1,0.0,88
ciciot2023:rung0.0,mlp,Benign,6299,2360,0.944,0.9479,0.0021,0.0002,0.0095,0.0138,1,0.0,91
ciciot2023:rung0.0,mlp,BruteForce,1371,544,0.9914,0.9618,-0.0118,0.0002,-0.0016,0.0298,1,0.0,91
ciciot2023:rung0.0,mlp,DDoS,68476,26026,0.5,0.95,-0.0,0.0,0.0,0.0036,1,0.0,91
ciciot2023:rung0.0,mlp,DoS,25215,9604,0.4999,0.9519,-0.0019,-0.0,0.0,0.0136,1,0.0,91
ciciot2023:rung0.0,mlp,Mirai,18953,7276,0.4999,0.9492,0.0008,0.0,0.0,0.0007,1,0.0,91
ciciot2023:rung0.0,mlp,Recon,23055,8725,0.6895,0.9549,-0.0049,0.0011,0.0,0.014,1,0.0,91
ciciot2023:rung0.0,mlp,Spoofing,12575,4654,0.8837,0.9567,-0.0067,-0.0,-0.0191,0.0152,1,0.0,91
ciciot2023:rung0.0,mlp,Web,2135,811,0.9704,0.9403,0.0097,0.0111,0.0004,0.049,1,0.0,91
ciciot2023:rung0.0,rf,Benign,6299,2360,0.934,0.953,-0.003,-0.0009,0.0085,0.0163,1,0.0,12345
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.991,0.9607,-0.0107,-0.0036,0.0013,0.0275,1,0.0,12345
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9509,-0.0009,0.0,0.0,0.0008,1,0.0,12345
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9514,-0.0014,0.0,0.0,0.0039,1,0.0,12345
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9506,-0.0006,0.0,0.0,0.0011,1,0.0,12345
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6647,0.9489,0.0011,0.0003,0.0,0.0126,1,0.0,12345
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8412,0.9557,-0.0057,0.0,-0.0187,0.0098,1,0.0,12345
ciciot2023:rung0.0,rf,Web,2135,811,0.9673,0.9544,-0.0044,-0.0006,-0.0054,0.0283,1,0.0,12345
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9388,0.9472,0.0028,-0.0006,0.0122,0.014,1,0.0,1337
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9892,0.9463,0.0037,0.0057,0.0028,0.0269,1,0.0,1337
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9508,-0.0008,0.0,0.0,0.0012,1,0.0,1337
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9504,-0.0004,0.0,0.0,0.0042,1,0.0,1337
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9494,0.0006,0.0,0.0,0.0016,1,0.0,1337
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6425,0.9514,-0.0014,0.0002,0.0,0.008,1,0.0,1337
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8372,0.9515,-0.0015,0.0001,-0.0077,0.0081,1,0.0,1337
ciciot2023:rung0.0,rf,Web,2135,811,0.9627,0.9555,-0.0055,-0.0026,0.0026,0.0325,1,0.0,1337
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9317,0.9469,0.0031,-0.0001,0.0108,0.0152,1,0.0,2024
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9881,0.9502,-0.0002,0.0014,0.0023,0.0338,1,0.0,2024
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9495,0.0005,0.0,0.0,0.0009,1,0.0,2024
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9495,0.0005,0.0,0.0,0.0032,1,0.0,2024
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9482,0.0018,0.0,0.0,0.0023,1,0.0,2024
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6431,0.9488,0.0012,0.0,0.0,0.0098,1,0.0,2024
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8414,0.9546,-0.0046,0.0,-0.0258,0.0118,1,0.0,2024
ciciot2023:rung0.0,rf,Web,2135,811,0.9684,0.9584,-0.0084,0.0079,-0.0023,0.0432,1,0.0,2024
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9328,0.9478,0.0022,0.0,0.004,0.014,1,0.0,3407
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9888,0.9388,0.0112,0.0017,0.0003,0.029,1,0.0,3407
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9515,-0.0015,0.0,0.0,0.0011,1,0.0,3407
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9506,-0.0006,0.0,0.0,0.0023,1,0.0,3407
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9507,-0.0007,0.0,0.0,0.0011,1,0.0,3407
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6369,0.9505,-0.0005,0.0,0.0,0.0061,1,0.0,3407
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8364,0.9527,-0.0027,0.0001,-0.0061,0.0154,1,0.0,3407
ciciot2023:rung0.0,rf,Web,2135,811,0.9672,0.9614,-0.0114,0.0047,-0.006,0.0341,1,0.0,3407
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9297,0.9462,0.0038,-0.0002,0.0061,0.0186,1,0.0,42
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9895,0.9502,-0.0002,0.0035,0.0017,0.0211,1,0.0,42
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9489,0.0011,0.0,0.0,0.0005,1,0.0,42
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9493,0.0007,0.0,0.0,0.0036,1,0.0,42
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9537,-0.0037,0.0,0.0,0.0019,1,0.0,42
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6298,0.9485,0.0015,0.0,0.0,0.0081,1,0.0,42
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8401,0.9549,-0.0049,0.0,-0.0054,0.0107,1,0.0,42
ciciot2023:rung0.0,rf,Web,2135,811,0.9721,0.9533,-0.0033,0.0124,-0.0018,0.0467,1,0.0,42
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9307,0.952,-0.002,-0.0011,0.0115,0.0184,1,0.0,512
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9874,0.9436,0.0064,0.0057,0.0019,0.0259,1,0.0,512
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9474,0.0026,0.0,0.0,0.0011,1,0.0,512
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9488,0.0012,0.0,0.0,0.0037,1,0.0,512
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9505,-0.0005,0.0,0.0,0.0013,1,0.0,512
ciciot2023:rung0.0,rf,Recon,23055,8725,0.639,0.9501,-0.0001,0.0,0.0,0.0073,1,0.0,512
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8329,0.952,-0.002,-0.0,-0.0166,0.0128,1,0.0,512
ciciot2023:rung0.0,rf,Web,2135,811,0.9615,0.9473,0.0027,-0.0012,0.0022,0.0279,1,0.0,512
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9255,0.9501,-0.0001,-0.0001,0.0149,0.019,1,0.0,6021
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9906,0.9559,-0.0059,0.0059,0.0025,0.0316,1,0.0,6021
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9488,0.0012,0.0,0.0,0.0008,1,0.0,6021
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9501,-0.0001,0.0,0.0,0.0034,1,0.0,6021
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9528,-0.0028,0.0,0.0,0.001,1,0.0,6021
ciciot2023:rung0.0,rf,Recon,23055,8725,0.652,0.9519,-0.0019,0.0001,0.0,0.0101,1,0.0,6021
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8333,0.952,-0.002,-0.0001,-0.0114,0.0116,1,0.0,6021
ciciot2023:rung0.0,rf,Web,2135,811,0.9662,0.9522,-0.0022,0.0025,-0.0032,0.0356,1,0.0,6021
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9311,0.9481,0.0019,-0.0002,0.0161,0.0184,1,0.0,7
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9913,0.9469,0.0031,0.0037,0.009,0.0324,1,0.0,7
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9514,-0.0014,0.0,0.0,0.0007,1,0.0,7
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9485,0.0015,0.0,0.0,0.0028,1,0.0,7
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9484,0.0016,0.0,0.0,0.0027,1,0.0,7
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6374,0.949,0.001,0.0,0.0,0.0055,1,0.0,7
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8341,0.9538,-0.0038,0.0006,-0.0127,0.009,1,0.0,7
ciciot2023:rung0.0,rf,Web,2135,811,0.9628,0.9512,-0.0012,0.009,-0.0004,0.0402,1,0.0,7
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9347,0.9517,-0.0017,-0.0,0.014,0.0115,1,0.0,88
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9906,0.9474,0.0026,0.0031,0.0051,0.0287,1,0.0,88
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9503,-0.0003,0.0,0.0,0.0008,1,0.0,88
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.95,0.0,0.0,0.0,0.0045,1,0.0,88
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9481,0.0019,0.0,0.0,0.001,1,0.0,88
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6538,0.9489,0.0011,0.0,0.0,0.0067,1,0.0,88
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8329,0.9516,-0.0016,-0.0001,-0.0129,0.0121,1,0.0,88
ciciot2023:rung0.0,rf,Web,2135,811,0.9654,0.9508,-0.0008,0.0091,0.002,0.041,1,0.0,88
ciciot2023:rung0.0,rf,Benign,6299,2360,0.9323,0.9508,-0.0008,0.0,0.0265,0.0169,1,0.0,91
ciciot2023:rung0.0,rf,BruteForce,1371,544,0.9899,0.952,-0.002,0.0048,0.0046,0.0304,1,0.0,91
ciciot2023:rung0.0,rf,DDoS,68476,26026,0.5,0.9498,0.0002,0.0,0.0,0.0011,1,0.0,91
ciciot2023:rung0.0,rf,DoS,25215,9604,0.5,0.9517,-0.0017,0.0,0.0,0.004,1,0.0,91
ciciot2023:rung0.0,rf,Mirai,18953,7276,0.5,0.9497,0.0003,0.0,0.0,0.0019,1,0.0,91
ciciot2023:rung0.0,rf,Recon,23055,8725,0.6518,0.9504,-0.0004,0.0,0.0,0.0088,1,0.0,91
ciciot2023:rung0.0,rf,Spoofing,12575,4654,0.8353,0.954,-0.004,0.0,-0.0104,0.0067,1,0.0,91
ciciot2023:rung0.0,rf,Web,2135,811,0.9652,0.9472,0.0028,0.0054,0.0068,0.036,1,0.0,91
ciciot2023:rung0.0,xgb,Benign,6299,2360,0.8944,0.9617,-0.0117,0.0,-0.0085,0.009,1,0.0,12345
ciciot2023:rung0.0,xgb,BruteForce,1371,544,0.9867,0.955,-0.005,0.0,-0.0013,0.03,1,0.0,12345
ciciot2023:rung0.0,xgb,DDoS,68476,26026,0.5,0.9492,0.0008,0.0,0.0,0.0002,1,0.0,12345
ciciot2023:rung0.0,xgb,DoS,25215,9604,0.5,0.9517,-0.0017,0.0,0.0,0.0005,1,0.0,12345
ciciot2023:rung0.0,xgb,Mirai,18953,7276,0.5,0.9495,0.0005,0.0,0.0,0.0012,1,0.0,12345
ciciot2023:rung0.0,xgb,Recon,23055,8725,0.599,0.9518,-0.0018,0.0,0.0,0.0136,1,0.0,12345
ciciot2023:rung0.0,xgb,Spoofing,12575,4654,0.801,0.9527,-0.0027,0.0,-0.0193,0.0113,1,0.0,12345
ciciot2023:rung0.0,xgb,Web,2135,811,0.9606,0.9349,0.0151,-0.0,0.0082,0.0337,1,0.0,12345
ciciot2023:rung0.0,xgb,Benign,6299,2360,0.8867,0.9548,-0.0048,0.0,0.0169,0.0135,1,0.0,1337
ciciot2023:rung0.0,xgb,BruteForce,1371,544,0.9858,0.9489,0.0011,0.0,-0.0008,0.0261,1,0.0,1337
ciciot2023:rung0.0,xgb,DDoS,68476,26026,0.5,0.9514,-0.0014,0.0,0.0,0.0002,1,0.0,1337
ciciot2023:rung0.0,xgb,DoS,25215,9604,0.5,0.9495,0.0005,0.0,0.0,0.0003,1,0.0,1337
ciciot2023:rung0.0,xgb,Mirai,18953,7276,0.5,0.9492,0.0008,0.0,0.0,0.0004,1,0.0,1337
ciciot2023:rung0.0,xgb,Recon,23055,8725,0.5625,0.951,-0.001,0.0,0.0,0.0095,1,0.0,1337
ciciot2023:rung0.0,xgb,Spoofing,12575,4654,0.8086,0.9532,-0.0032,0.0,-0.0081,0.0082,1,0.0,1337
ciciot2023:rung0.0,xgb,Web,2135,811,0.952,0.9343,0.0157,0.0013,0.0133,0.0408,1,0.0,1337
ciciot2023:rung0.0,xgb,Benign,6299,2360,0.8935,0.956,-0.006,0.0,0.0031,0.0114,1,0.0,2024
ciciot2023:rung0.0,xgb,BruteForce,1371,544,0.9868,0.9544,-0.0044,0.0,0.0014,0.0456,1,0.0,2024
ciciot2023:rung0.0,xgb,DDoS,68476,26026,0.5,0.9493,0.0007,0.0,0.0,0.0003,1,0.0,2024
ciciot2023:rung0.0,xgb,DoS,25215,9604,0.5,0.9467,0.0033,0.0,0.0,0.0008,1,0.0,2024
ciciot2023:rung0.0,xgb,Mirai,18953,7276,0.5,0.9475,0.0025,0.0,0.0,0.0004,1,0.0,2024
ciciot2023:rung0.0,xgb,Recon,23055,8725,0.5315,0.9495,0.0005,0.0,0.0,0.0069,1,0.0,2024
