realization,rung,arch,seed,n_novel,n_seen,KS_all,KS_novel,KS_seen,median_novel_minus_src,misroute_all,misroute_novel,misroute_seen
0,0.8,rf,88,649,162,0.125,0.1497,0.0449,-0.0598,0.3946,0.3821,0.4444
0,0.8,rf,91,649,162,0.1346,0.1612,0.0515,-0.0605,0.381,0.3698,0.4259
0,0.8,xgb,12345,649,162,0.1173,0.1468,0.05,-0.0105,0.3798,0.3744,0.4012
0,0.8,xgb,1337,649,162,0.1132,0.1386,0.0403,-0.0105,0.3736,0.376,0.3642
0,0.8,xgb,2024,649,162,0.1173,0.1381,0.0531,-0.0138,0.397,0.3945,0.4074
0,0.8,xgb,3407,649,162,0.1262,0.1451,0.054,-0.0086,0.3995,0.4037,0.3827
0,0.8,xgb,42,649,162,0.1163,0.1454,0.0468,-0.0148,0.3798,0.3744,0.4012
0,0.8,xgb,512,649,162,0.1153,0.133,0.059,-0.0131,0.3736,0.379,0.3519
0,0.8,xgb,6021,649,162,0.1393,0.1622,0.0607,-0.0111,0.3859,0.3898,0.3704
0,0.8,xgb,7,649,162,0.1074,0.1304,0.0432,-0.007,0.4094,0.4099,0.4074
0,0.8,xgb,88,649,162,0.1011,0.1166,0.0525,-0.0089,0.4069,0.4099,0.3951
0,0.8,xgb,91,649,162,0.1368,0.1517,0.0785,-0.0122,0.3674,0.3729,0.3457
1,0.0,mlp,12345,0,811,0.0423,,0.0423,,0.7707,,0.7707
1,0.0,mlp,1337,0,811,0.047,,0.047,,0.767,,0.767
1,0.0,mlp,2024,0,811,0.0746,,0.0746,,0.7867,,0.7867
1,0.0,mlp,3407,0,811,0.0626,,0.0626,,0.7534,,0.7534
1,0.0,mlp,42,0,811,0.054,,0.054,,0.7411,,0.7411
1,0.0,mlp,512,0,811,0.0641,,0.0641,,0.783,,0.783
1,0.0,mlp,6021,0,811,0.0513,,0.0513,,0.8237,,0.8237
1,0.0,mlp,7,0,811,0.0531,,0.0531,,0.7238,,0.7238
1,0.0,mlp,88,0,811,0.0352,,0.0352,,0.8212,,0.8212
1,0.0,mlp,91,0,811,0.049,,0.049,,0.7756,,0.7756
1,0.0,rf,12345,0,811,0.0283,,0.0283,,0.4538,,0.4538
1,0.0,rf,1337,0,811,0.0325,,0.0325,,0.4538,,0.4538
1,0.0,rf,2024,0,811,0.0432,,0.0432,,0.4587,,0.4587
1,0.0,rf,3407,0,811,0.0341,,0.0341,,0.4599,,0.4599
1,0.0,rf,42,0,811,0.0467,,0.0467,,0.455,,0.455
1,0.0,rf,512,0,811,0.0279,,0.0279,,0.455,,0.455
1,0.0,rf,6021,0,811,0.0356,,0.0356,,0.4599,,0.4599
1,0.0,rf,7,0,811,0.0402,,0.0402,,0.4723,,0.4723
1,0.0,rf,88,0,811,0.041,,0.041,,0.4784,,0.4784
1,0.0,rf,91,0,811,0.036,,0.036,,0.4673,,0.4673
1,0.0,xgb,12345,0,811,0.0337,,0.0337,,0.4081,,0.4081
1,0.0,xgb,1337,0,811,0.0408,,0.0408,,0.4032,,0.4032
1,0.0,xgb,2024,0,811,0.0356,,0.0356,,0.4229,,0.4229
1,0.0,xgb,3407,0,811,0.0421,,0.0421,,0.4217,,0.4217
1,0.0,xgb,42,0,811,0.031,,0.031,,0.4094,,0.4094
1,0.0,xgb,512,0,811,0.0402,,0.0402,,0.4044,,0.4044
1,0.0,xgb,6021,0,811,0.0268,,0.0268,,0.4069,,0.4069
1,0.0,xgb,7,0,811,0.0317,,0.0317,,0.4279,,0.4279
1,0.0,xgb,88,0,811,0.0321,,0.0321,,0.418,,0.418
1,0.0,xgb,91,0,811,0.0309,,0.0309,,0.4032,,0.4032
1,0.2,mlp,12345,162,649,0.0514,0.1644,0.0425,-0.0701,0.725,0.7099,0.7288
1,0.2,mlp,1337,162,649,0.0472,0.1381,0.0271,-0.0671,0.7337,0.7222,0.7365
1,0.2,mlp,2024,162,649,0.0359,0.1024,0.0495,-0.0293,0.7596,0.784,0.7535
1,0.2,mlp,3407,162,649,0.0493,0.2042,0.0464,-0.1212,0.693,0.6111,0.7134
1,0.2,mlp,42,162,649,0.0326,0.1609,0.0386,-0.017,0.7041,0.6667,0.7134
1,0.2,mlp,512,162,649,0.0432,0.158,0.0362,-0.033,0.7374,0.784,0.7257
1,0.2,mlp,6021,162,649,0.0538,0.1592,0.0307,-0.0661,0.7978,0.8025,0.7966
1,0.2,mlp,7,162,649,0.0384,0.2047,0.0523,-0.0588,0.6831,0.6111,0.7011
1,0.2,mlp,88,162,649,0.0484,0.1157,0.0353,-0.0081,0.8076,0.8827,0.7889
1,0.2,mlp,91,162,649,0.0468,0.0916,0.0383,-0.0446,0.7485,0.7654,0.7442
1,0.2,rf,12345,162,649,0.0443,0.0903,0.0532,-0.038,0.4538,0.4136,0.4638
1,0.2,rf,1337,162,649,0.0325,0.1113,0.046,-0.0433,0.4538,0.4074,0.4653
1,0.2,rf,2024,162,649,0.0418,0.0983,0.0495,-0.0396,0.4575,0.4198,0.4669
1,0.2,rf,3407,162,649,0.0455,0.0825,0.0603,-0.0344,0.4661,0.4259,0.4761
1,0.2,rf,42,162,649,0.0537,0.0807,0.0662,-0.0288,0.4501,0.4321,0.4545
1,0.2,rf,512,162,649,0.0415,0.0782,0.05,-0.0293,0.4612,0.4321,0.4684
1,0.2,rf,6021,162,649,0.0437,0.0912,0.0521,-0.0462,0.4661,0.4198,0.4777
1,0.2,rf,7,162,649,0.0434,0.0608,0.0553,-0.0293,0.4624,0.4383,0.4684
1,0.2,rf,88,162,649,0.0481,0.0625,0.0541,-0.0295,0.4846,0.4568,0.4915
1,0.2,rf,91,162,649,0.0397,0.1329,0.0558,-0.0515,0.4587,0.4074,0.4715
1,0.2,xgb,12345,162,649,0.0253,0.1147,0.0189,-0.0031,0.4069,0.4074,0.4068
1,0.2,xgb,1337,162,649,0.0273,0.124,0.039,-0.0103,0.4118,0.4198,0.4099
1,0.2,xgb,2024,162,649,0.0289,0.1574,0.0199,-0.0138,0.4155,0.4136,0.416
1,0.2,xgb,3407,162,649,0.0373,0.1119,0.0272,-0.0084,0.4168,0.4568,0.4068
