dataset,realization,seed,arch,protocol,class,alpha,coverage,set_size,nominal
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,Benign,0.1,0.8998,0.9127,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,DoS,0.1,0.9,1.1499,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,Benign,0.2,0.8003,0.8064,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,REC,DoS,0.2,0.8046,1.0268,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,Benign,0.05,0.9497,0.9666,0.95
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,DoS,0.05,0.9565,1.2216,0.95
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,Benign,0.1,0.8997,0.9125,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,DoS,0.1,0.899,1.1485,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,Benign,0.2,0.7992,0.8048,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,TSC,DoS,0.2,0.7959,1.0188,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,Benign,0.05,0.9496,0.95,0.95
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,DoS,0.05,0.684,0.9487,0.95
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,Benign,0.1,0.8992,0.8996,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,DoS,0.1,0.65,0.8998,0.9
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,Benign,0.2,0.7998,0.8001,0.8
cicids2017,R1_holdout_Slowhttptest,2024,mlp,SHC,DoS,0.2,0.5809,0.8029,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,Benign,0.05,0.9495,0.95,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,DoS,0.05,0.9554,1.1644,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,Benign,0.1,0.8994,0.8997,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,DoS,0.1,0.9058,1.0899,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,Benign,0.2,0.7992,0.7994,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,REC,DoS,0.2,0.7983,0.9432,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,Benign,0.05,0.9498,0.9502,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,DoS,0.05,0.9551,1.1643,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,Benign,0.1,0.8994,0.8996,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,DoS,0.1,0.9074,1.0916,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,Benign,0.2,0.7988,0.7989,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,TSC,DoS,0.2,0.7987,0.944,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,Benign,0.05,0.95,0.9503,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,DoS,0.05,0.9236,1.1332,0.95
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,Benign,0.1,0.8996,0.8998,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,DoS,0.1,0.8539,1.0373,0.9
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,Benign,0.2,0.8,0.8002,0.8
cicids2017,R1_holdout_Slowhttptest,7,rf,SHC,DoS,0.2,0.7434,0.8887,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,Benign,0.05,0.9508,0.9509,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,DoS,0.05,0.9482,0.9788,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,Benign,0.1,0.901,0.9011,0.9
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,DoS,0.1,0.901,0.9303,0.9
